metric,contrast,point_estimate,bootstrap_replicates_requested,effective_replicates,bootstrap_mean,bootstrap_se,ci95_lower,ci95_upper
average_precision,BL2_minus_BL1,0.04129522566356314,2000,2000,0.041228648693810016,0.0018869126329356892,0.037660818671470225,0.04505401065445733
log_loss,BL2_minus_BL1,-0.022952506199715783,2000,2000,-0.022946500365626052,0.0009026325032863024,-0.024659882558581706,-0.02110901505498679
brier,BL2_minus_BL1,-0.008907188334427857,2000,2000,-0.008902244872398378,0.00034887962801766757,-0.009588853227095495,-0.008195183333780864
user_gauc_event_weighted,BL2_minus_BL1,0.04875807245052832,2000,2000,0.04874033333166201,0.0020178591175026204,0.044877864144934936,0.052606604386044996
user_gauc_user_equal,BL2_minus_BL1,0.029261747862349585,2000,2000,0.02921857333794015,0.0016052611923260047,0.026091591742876435,0.03228870629757231
average_precision,BL1_minus_BL0,0.2191799642034229,2000,2000,0.2189728490344795,0.006387354494548391,0.20553924291202405,0.23121918923243198
log_loss,BL1_minus_BL0,-0.07339173898899054,2000,2000,-0.07344649280432058,0.0032194887776089767,-0.07985469451072932,-0.06716997561363162
brier,BL1_minus_BL0,-0.03080549357909068,2000,2000,-0.0308322707295997,0.0013210655368180498,-0.033461197814215256,-0.02827721366244373
user_gauc_event_weighted,BL1_minus_BL0,0.10522193699139604,2000,2000,0.10518959491535186,0.0029993716559359126,0.0992642384571007,0.11079199828343812
user_gauc_user_equal,BL1_minus_BL0,0.10721053388298735,2000,2000,0.10724242517836814,0.002604400194490418,0.10232184466940802,0.11248122465756832
