origin,model_id,rows,users,positives,prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction,BL0_log_loss,BL0_brier
2022-04-11,BL0,243361,830,73659,0.30267380558100926,0.30267380558100926,0.5,0.6135036926259118,0.21122996286900486,0.0129456507324342,0.5,0.5,793,243253,0.9554216867469879,0.9995562148413263,0.6135036926259118,0.21122996286900486
2022-04-11,BL1,243361,830,73659,0.30267380558100926,0.5224788368072274,0.7277627335589343,0.543217904281549,0.18242324341074256,0.005073221556067672,0.608711267586312,0.6111517490944056,793,243253,0.9554216867469879,0.9995562148413263,0.6135036926259118,0.21122996286900486
2022-04-11,BL2,243361,830,73659,0.30267380558100926,0.5653479212810504,0.759950170662985,0.5202919652755363,0.17354088675198123,0.007574301615657169,0.6360174475778315,0.6180987850276779,793,243253,0.9554216867469879,0.9995562148413263,0.6135036926259118,0.21122996286900486
2022-04-12,BL0,225275,801,67349,0.2989634890689158,0.2989634890689158,0.5,0.6104118777500792,0.2097668987896083,0.01351212481263575,0.5,0.5,765,225127,0.9550561797752809,0.9993430251914327,0.6104118777500792,0.2097668987896083
2022-04-12,BL1,225275,801,67349,0.2989634890689158,0.5331290519340542,0.7339347604929666,0.5358907816006245,0.17927571243380105,0.007827520790841579,0.6134037560333577,0.6079392343193233,765,225127,0.9550561797752809,0.9993430251914327,0.6104118777500792,0.2097668987896083
2022-04-12,BL2,225275,801,67349,0.2989634890689158,0.566000070743993,0.7626265604838682,0.5155432294612646,0.1718157410722642,0.010163753773674504,0.6404584062602423,0.61074937738829,765,225127,0.9550561797752809,0.9993430251914327,0.6104118777500792,0.2097668987896083
2022-04-13,BL0,221706,799,67630,0.30504361632071303,0.30504361632071303,0.5,0.6151348639071147,0.21201653044755084,0.004951967776169686,0.5,0.5,767,221606,0.9599499374217773,0.9995489522159977,0.6151348639071147,0.21201653044755084
2022-04-13,BL1,221706,799,67630,0.30504361632071303,0.5325814499105933,0.7309989468223015,0.5421867047282575,0.1820129503112048,0.005272221992889437,0.6074964495444253,0.6151512694519233,767,221606,0.9599499374217773,0.9995489522159977,0.6151348639071147,0.21201653044755084
2022-04-13,BL2,221706,799,67630,0.30504361632071303,0.5672452750356465,0.7556907005922062,0.524099733852652,0.17520122075231623,0.004363839490473286,0.6350536767598602,0.623928239072939,767,221606,0.9599499374217773,0.9995489522159977,0.6151348639071147,0.21201653044755084
2022-04-14,BL0,212584,813,68275,0.32116716215707675,0.32116716215707675,0.5,0.628076896813778,0.21816112225272508,0.011929213875122802,0.5,0.5,776,212453,0.9544895448954489,0.9993837730026719,0.628076896813778,0.21816112225272508
2022-04-14,BL1,212584,813,68275,0.32116716215707675,0.5483350444214021,0.7320386792368594,0.5526757934534509,0.18655436755647872,0.009656947991908745,0.6073871851616952,0.610668563183962,776,212453,0.9544895448954489,0.9993837730026719,0.628076896813778,0.21816112225272508
2022-04-14,BL2,212584,813,68275,0.32116716215707675,0.5884386668150857,0.7603229147316795,0.5313857715264709,0.17820585916942489,0.00776065371263549,0.6351933901230008,0.6239974361063495,776,212453,0.9544895448954489,0.9993837730026719,0.628076896813778,0.21816112225272508
2022-04-15,BL0,229542,861,74990,0.3266940254942451,0.3266940254942451,0.5,0.6323996456045905,0.22021880179541145,0.015929927645812858,0.5,0.5,817,229423,0.9488966318234611,0.9994815763563967,0.6323996456045905,0.22021880179541145
2022-04-15,BL1,229542,861,74990,0.3266940254942451,0.5541616081538536,0.7312042933864344,0.556706182115626,0.18808527681675336,0.006705527581004488,0.6014314108282531,0.6034202823757338,817,229423,0.9488966318234611,0.9994815763563967,0.6323996456045905,0.22021880179541145
2022-04-15,BL2,229542,861,74990,0.3266940254942451,0.5994958912402681,0.7653667501871861,0.5304603080925814,0.17787722891788035,0.0056210662737570544,0.6346314673322163,0.612606367537052,817,229423,0.9488966318234611,0.9994815763563967,0.6323996456045905,0.22021880179541145
2022-04-16,BL0,254081,884,88626,0.3488100251494602,0.3488100251494602,0.5,0.6496819890367007,0.2284457017675163,0.03611246686150338,0.5,0.5,852,253955,0.9638009049773756,0.999504095150759,0.6496819890367007,0.2284457017675163
2022-04-16,BL1,254081,884,88626,0.3488100251494602,0.5579889499899756,0.7197873280813665,0.5780710151046659,0.1971586923738213,0.014687530404779854,0.6056298048173197,0.6031558183859653,852,253955,0.9638009049773756,0.999504095150759,0.6496819890367007,0.2284457017675163
2022-04-16,BL2,254081,884,88626,0.3488100251494602,0.6032007667779781,0.7533570691859205,0.5521918006591938,0.18684128513470918,0.0082449877069452,0.6307003865927522,0.6132367875563788,852,253955,0.9638009049773756,0.999504095150759,0.6496819890367007,0.2284457017675163
2022-04-17,BL0,254549,872,85413,0.33554639774660283,0.33554639774660283,0.5,0.6388256925392762,0.22329992480173597,0.01857180917020662,0.5,0.5,839,254461,0.9621559633027523,0.9996542905295248,0.6388256925392762,0.22329992480173597
2022-04-17,BL1,254549,872,85413,0.33554639774660283,0.5532303752671052,0.7264804912784426,0.5650538576487656,0.19195426035675373,0.008458544797744275,0.6047524395533501,0.6030534140956146,839,254461,0.9621559633027523,0.9996542905295248,0.6388256925392762,0.22329992480173597
2022-04-17,BL2,254549,872,85413,0.33554639774660283,0.5966836714032396,0.7595735749345971,0.5400355598675335,0.1820315687968203,0.006743661197513807,0.6363836349863086,0.6237923418053154,839,254461,0.9621559633027523,0.9996542905295248,0.6388256925392762,0.22329992480173597
