event_date,adam_bl1_ap,adam_bl2_ap,delta_ap,delta_ap_positive
2022-04-22,0.1531704201630692,0.18290899902402735,0.029738578860958154,true
2022-04-23,0.18185115897473622,0.17906970240810108,-0.0027814565666351432,false
2022-04-24,0.20231942893064817,0.20840521652530641,0.0060857875946582485,true
2022-04-25,0.17590543946461834,0.20217706959268866,0.026271630128070322,true
2022-04-26,0.17708444848766103,0.19164939651613633,0.0145649480284753,true
2022-04-27,0.20366425569669017,0.19412599685270246,-0.009538258843987707,false
2022-04-28,0.19485551598652151,0.25031322215312229,0.055457706166600784,true
2022-04-29,0.17717068532947963,0.18762814549706411,0.010457460167584476,true
2022-04-30,0.18720064422746752,0.21127839518559305,0.024077750958125532,true
2022-05-01,0.20328727505319602,0.24088507168054035,0.037597796627344332,true
2022-05-02,0.18931308497995997,0.18457253002715573,-0.0047405549528042323,false
2022-05-03,0.16880815469679392,0.20366596385033436,0.034857809153540448,true
2022-05-04,0.18339119228075101,0.22453027595838104,0.041139083677630028,true
2022-05-05,0.17371775806012918,0.2021466434285524,0.028428885368423223,true
2022-05-06,0.14599721397120721,0.18171140902052191,0.035714195049314695,true
2022-05-07,0.17586241466841385,0.20627906189355422,0.03041664722514037,true
2022-05-08,0.15373592459958943,0.18829001728856481,0.034554092688975385,true
