event_date,model_id,rows,users,positives,prevalence,mean_probability,mean_probability_minus_prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction
2022-05-03,original_BL2,4029,636,348,0.08637379002233805,0.36682426518460504,0.28045047516226695,0.20217304025160948,0.7420600349105535,0.5083015792933404,0.1689239032831239,0.28045047516226695,0.634866936165857,0.6233325206055885,187,2014,0.2940251572327044,0.4998758997269794
2022-05-03,selected_calibrator,4029,636,348,0.08637379002233805,0.08250208493843339,-0.003871705083904664,0.20217304025160948,0.7420600349105535,0.2645988592118276,0.07405470995229117,0.010029203506368836,0.634866936165857,0.6233325206055885,187,2014,0.2940251572327044,0.4998758997269794
2022-05-04,original_BL2,3682,646,342,0.09288430200977729,0.37106254234335306,0.27817824033357574,0.22420745106860795,0.7396846657562068,0.5136434696845511,0.17040499218412414,0.27817824033357574,0.6624273961753995,0.6481405345591549,201,2065,0.3111455108359133,0.5608365019011406
2022-05-04,selected_calibrator,3682,646,342,0.09288430200977729,0.0840923408798712,-0.008791961129906087,0.22420745106860795,0.7396846657562068,0.27785502001628304,0.07854181968269004,0.014831125121585345,0.6624273961753995,0.6481405345591549,201,2065,0.3111455108359133,0.5608365019011406
2022-05-05,original_BL2,3642,611,334,0.09170785282811642,0.3690822960004557,0.2773744431723393,0.20293726648362892,0.719977517757713,0.5163876669182959,0.17116993534821062,0.2773744431723394,0.6095344540160625,0.596050297384408,165,1748,0.2700490998363339,0.47995606809445357
2022-05-05,selected_calibrator,3642,611,334,0.09170785282811642,0.08295464854415022,-0.008753204283966198,0.20293726648362892,0.719977517757713,0.281794751933195,0.07865785675950733,0.012015160329702464,0.6095344540160625,0.596050297384408,165,1748,0.2700490998363339,0.47995606809445357
2022-05-06,original_BL2,4290,616,371,0.08648018648018647,0.3625848970092196,0.2761047105290331,0.1793209356078552,0.7017247510057093,0.5095884374657714,0.16879739437209376,0.27610471052903307,0.6308676168588356,0.6003235012435114,181,2377,0.29383116883116883,0.5540792540792541
2022-05-06,selected_calibrator,4290,616,371,0.08648018648018647,0.07994356957676801,-0.00653661690341846,0.1793209356078552,0.7017247510057093,0.2747181944221731,0.07587664428847846,0.01328724243585981,0.6308676168588356,0.6003235012435114,181,2377,0.29383116883116883,0.5540792540792541
2022-05-07,original_BL2,3885,638,318,0.08185328185328185,0.36231644239175176,0.2804631605384699,0.20387445226097534,0.7449674073838982,0.4986147919117379,0.1638398176662581,0.28046316053846987,0.6103513442487831,0.5834968065166123,176,1794,0.27586206896551724,0.4617760617760618
2022-05-07,selected_calibrator,3885,638,318,0.08185328185328185,0.07991471781709655,-0.0019385640361852946,0.20387445226097534,0.7449674073838982,0.25414542360522063,0.07034537639960292,0.012713502150395429,0.6103513442487831,0.5834968065166123,176,1794,0.27586206896551724,0.4617760617760618
2022-05-08,original_BL2,4224,653,350,0.08285984848484848,0.3773201185615838,0.29446027007673536,0.1902821200651309,0.7178132605649383,0.5254979751988865,0.1764291372762138,0.29446027007673536,0.6067559435979354,0.6051162935571994,189,2115,0.2894333843797856,0.5007102272727273
2022-05-08,selected_calibrator,4224,653,350,0.08285984848484848,0.08475372216502486,0.0018938736801763778,0.1902821200651309,0.7178132605649383,0.2619590707118008,0.07207908667808079,0.009966698701600956,0.6067559435979354,0.6051162935571994,189,2115,0.2894333843797856,0.5007102272727273
