scope,model_id,rows,users,positives,prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction
history_0_49,BL0,133,20,14,0.10526315789473684,0.10526315789473684,0.5,0.46449686832596465,0.14007287432860474,0.21421962758776375,0.5,0.5,8,84,0.4,0.631578947368421
history_0_49,ADAM_BL1,133,20,14,0.10526315789473684,0.1737195126731921,0.5894357743097238,0.5207580652231533,0.1689788265747416,0.2661935014929292,0.5261975623582765,0.536532738095238,8,84,0.4,0.631578947368421
history_0_49,ADAM_BL2,133,20,14,0.10526315789473684,0.19265371175154433,0.7298919567827131,0.5788667818175719,0.20097121996698752,0.30544075704704277,0.7241709183673469,0.6774553571428571,8,84,0.4,0.631578947368421
history_50_199,BL0,1123,104,156,0.13891362422083706,0.13891362422083706,0.5,0.48994165921235533,0.1522218512254098,0.18056916126166359,0.5,0.5,58,868,0.5576923076923077,0.7729296527159395
history_50_199,ADAM_BL1,1123,104,156,0.13891362422083706,0.1630356288363322,0.5514676636703524,0.5780665846128669,0.19550819999227287,0.2644506155452033,0.5244556954252763,0.5209766358161815,58,868,0.5576923076923077,0.7729296527159395
history_50_199,ADAM_BL2,1123,104,156,0.13891362422083706,0.21496080144090296,0.6604353936308435,0.7449657927150936,0.273018564130074,0.37264966080937517,0.6037401476339986,0.5946447056246926,58,868,0.5576923076923077,0.7729296527159395
history_200_plus,BL0,41771,967,3451,0.08261712671470638,0.08261712671470638,0.5,0.44737307805814236,0.1318968773916137,0.23686565876779425,0.5,0.5,659,35783,0.6814891416752844,0.8566469560221206
history_200_plus,ADAM_BL1,41771,967,3451,0.08261712671470638,0.170362922723331,0.701395956302037,0.5149839861111598,0.16884982942054383,0.29437423356627895,0.5579676521910769,0.5699148438310605,659,35783,0.6814891416752844,0.8566469560221206
history_200_plus,ADAM_BL2,41771,967,3451,0.08261712671470638,0.19639436880267613,0.7377024578818642,0.4999872628120204,0.16475845357014463,0.2791543798233729,0.6161848379775268,0.617442769503924,659,35783,0.6814891416752844,0.8566469560221206
history_500_plus_exploratory,BL0,37297,856,2931,0.07858540901412982,0.07858540901412982,0.5,0.4443244958242444,0.13044128849355574,0.24089737646837084,0.5,0.5,563,31859,0.6577102803738317,0.8541973885299086
history_500_plus_exploratory,ADAM_BL1,37297,856,2931,0.07858540901412982,0.1725781747507184,0.7117580319729578,0.5053566796543237,0.16463959659269556,0.29260831465886133,0.5605643564637591,0.5759554552422286,563,31859,0.6577102803738317,0.8541973885299086
history_500_plus_exploratory,ADAM_BL2,37297,856,2931,0.07858540901412982,0.19983027105131293,0.743226372070036,0.477486530144409,0.15483324012019678,0.26924531167022175,0.6154944446255537,0.6177066007799484,563,31859,0.6577102803738317,0.8541973885299086
warm_video,BL0,30061,1000,2816,0.09367619174345497,0.09367619174345497,0.5,0.4557353870475202,0.1358895806199289,0.22580659373904577,0.5,0.5,648,24904,0.648,0.82844882073118
warm_video,ADAM_BL1,30061,1000,2816,0.09367619174345497,0.1827785945244273,0.6925879722509551,0.5255254411674043,0.17348309560527986,0.2887320007872401,0.5534777935969823,0.5635987122246187,648,24904,0.648,0.82844882073118
warm_video,ADAM_BL2,30061,1000,2816,0.09367619174345497,0.20927225577401104,0.7339236035803066,0.5131403476119283,0.17043208317112304,0.27591548608974237,0.6111646570331457,0.6069856791010491,648,24904,0.648,0.82844882073118
behavior_cold_video,BL0,12966,994,805,0.06208545426500077,0.06208545426500077,0.5,0.4318480595645526,0.12448423675160064,0.25739733121749986,0.5,0.5,359,7533,0.3611670020120724,0.5809810273021749
behavior_cold_video,ADAM_BL1,12966,994,805,0.06208545426500077,0.1337592790104764,0.7023887072052448,0.4960670518364064,0.16041807652791765,0.30457467311334546,0.5588858996060411,0.5583535938068127,359,7533,0.3611670020120724,0.5809810273021749
behavior_cold_video,ADAM_BL2,12966,994,805,0.06208545426500077,0.16519595143358654,0.7447121717372661,0.49151949965752867,0.16135242415895917,0.2950309549617882,0.6279719089211409,0.6165447825197189,359,7533,0.3611670020120724,0.5809810273021749
tag_known,BL0,42505,1000,3555,0.08363721915068816,0.08363721915068816,0.5,0.44814442067392696,0.1322651658818013,0.23584556633181247,0.5,0.5,697,36512,0.697,0.8590048229620044
tag_known,ADAM_BL1,42505,1000,3555,0.08363721915068816,0.16894670408362386,0.6971875804567506,0.5165392775494975,0.16951614056449232,0.2940190544878627,0.5562627722375537,0.5663019038055255,697,36512,0.697,0.8590048229620044
tag_known,ADAM_BL2,42505,1000,3555,0.08363721915068816,0.1947320733887784,0.7368383209748154,0.5065832965447421,0.1676872975923902,0.2820530703540746,0.614932189594529,0.6139434287458417,697,36512,0.697,0.8590048229620044
tag_unknown,BL0,522,321,66,0.12643678160919541,0.12643678160919541,0.5,0.4805072980923909,0.14771728147695626,0.19304600387330534,0.5,0.5,26,82,0.08099688473520249,0.15708812260536398
tag_unknown,ADAM_BL1,522,321,66,0.12643678160919541,0.26629221762340727,0.6712852206273258,0.5255243080513349,0.17197808919071278,0.255040986452923,0.5630081300813008,0.5448717948717948,26,82,0.08099688473520249,0.15708812260536398
tag_unknown,ADAM_BL2,522,321,66,0.12643678160919541,0.34898369460814654,0.7588051568314725,0.5100206944203558,0.168401915110438,0.25147214014099634,0.6941056910569106,0.6842948717948717,26,82,0.08099688473520249,0.15708812260536398
video_duration_valid,BL0,41717,1000,3598,0.08624781264232807,0.08624781264232807,0.5,0.45011842022687304,0.133207680012498,0.23323497284017258,0.5,0.5,697,35865,0.697,0.8597214564805715
video_duration_valid,ADAM_BL1,41717,1000,3598,0.08624781264232807,0.16999557160045992,0.6903690843750608,0.5277780905648117,0.1739229706687322,0.29943546093265644,0.5442300663269548,0.5543250760365342,697,35865,0.697,0.8597214564805715
video_duration_valid,ADAM_BL2,41717,1000,3598,0.08624781264232807,0.19694087000906957,0.732437706669181,0.5161777483402678,0.17151672495712583,0.28609320233492264,0.6063175763080116,0.6051117884842566,697,35865,0.697,0.8597214564805715
video_duration_invalid,BL0,1310,562,23,0.017557251908396947,0.017557251908396947,0.5,0.39817807156109136,0.10840802263782924,0.3019255335741037,0.5,0.5,18,87,0.03202846975088968,0.06641221374045801
