event_date,population,model_id,rows,users,positives,prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction
2022-04-22,primary_warm_user,BL0,1005,259,75,0.07462686567164178,0.07462686567164178,0.5,0.44133124436115256,0.1290121180580903,0.24485591981085897,0.5,0.5,43,340,0.16602316602316602,0.3383084577114428
2022-04-22,primary_warm_user,ADAM_BL1,1005,259,75,0.07462686567164178,0.1531704201630692,0.7088028673835126,0.4828943302742121,0.15530120355109536,0.27855439488186445,0.5121887263063734,0.5700370043393298,43,340,0.16602316602316602,0.3383084577114428
2022-04-22,primary_warm_user,ADAM_BL2,1005,259,75,0.07462686567164178,0.18290899902402735,0.7359283154121864,0.4605522483070326,0.14862277496435716,0.2547966616737027,0.5907526623703094,0.6637179035434849,43,340,0.16602316602316602,0.3383084577114428
2022-04-22,all_target_rows,BL0,1009,261,75,0.07433102081268583,0.07433102081268583,0.5,0.44110754135216607,0.1289053078783542,0.24515176466981492,0.5,0.5,43,340,0.16475095785440613,0.33696729435084244
2022-04-22,all_target_rows,ADAM_BL1,1009,261,75,0.07433102081268583,0.15294422529292542,0.7089650249821556,0.48266437288494884,0.1551768287908261,0.27879429124312055,0.5121887263063734,0.5700370043393298,43,340,0.16475095785440613,0.33696729435084244
2022-04-22,all_target_rows,ADAM_BL2,1009,261,75,0.07433102081268583,0.18275258195846952,0.7363026409707353,0.4599384749346781,0.14836394789878465,0.2547758494885084,0.5907526623703094,0.6637179035434849,43,340,0.16475095785440613,0.33696729435084244
2022-04-23,primary_warm_user,BL0,1679,362,121,0.07206670637284097,0.07206670637284097,0.5,0.439395380609294,0.12808781240740913,0.24741607910965974,0.5,0.5,70,594,0.19337016574585636,0.35378201310303753
2022-04-23,primary_warm_user,ADAM_BL1,1679,362,121,0.07206670637284097,0.18185115897473622,0.721156600430728,0.482427075716904,0.15479516807069815,0.2850812703898343,0.5494809465125369,0.5693849762127073,70,594,0.19337016574585636,0.35378201310303753
2022-04-23,primary_warm_user,ADAM_BL2,1679,362,121,0.07206670637284097,0.17906970240810108,0.7599539566513542,0.46844185952763084,0.15210766198098802,0.26879174664958244,0.583870651787566,0.5956164081794334,70,594,0.19337016574585636,0.35378201310303753
2022-04-23,all_target_rows,BL0,1688,363,121,0.07168246445497631,0.07168246445497631,0.5,0.43910483618844987,0.12794908784598152,0.24780032102752433,0.5,0.5,70,594,0.1928374655647383,0.3518957345971564
2022-04-23,all_target_rows,ADAM_BL1,1688,363,121,0.07168246445497631,0.1815381153127387,0.7212180984879251,0.482267989732535,0.15470245920695427,0.2854644637377058,0.5494809465125369,0.5693849762127073,70,594,0.1928374655647383,0.3518957345971564
2022-04-23,all_target_rows,ADAM_BL2,1688,363,121,0.07168246445497631,0.17854275853170248,0.7595974832152821,0.46881548609412854,0.15223657575376562,0.26953841767020864,0.583870651787566,0.5956164081794334,70,594,0.1928374655647383,0.3518957345971564
2022-04-24,primary_warm_user,BL0,1517,328,114,0.07514831905075807,0.07514831905075807,0.5,0.4417255411908023,0.1292003806810879,0.24433446643174256,0.5,0.5,65,677,0.19817073170731708,0.44627554383651946
2022-04-24,primary_warm_user,ADAM_BL1,1517,328,114,0.07514831905075807,0.20231942893064817,0.7526603393730228,0.4900099818250605,0.15788328466696946,0.2900207505066434,0.6231695022354276,0.6110632835025532,65,677,0.19817073170731708,0.44627554383651946
2022-04-24,primary_warm_user,ADAM_BL2,1517,328,114,0.07514831905075807,0.2084052165253064,0.7711920571207063,0.4901635918963571,0.16051966621223893,0.2841210910909752,0.5521772916827301,0.5826210042142741,65,677,0.19817073170731708,0.44627554383651946
2022-04-24,all_target_rows,BL0,1517,328,114,0.07514831905075807,0.07514831905075807,0.5,0.4417255411908023,0.1292003806810879,0.24433446643174256,0.5,0.5,65,677,0.19817073170731708,0.44627554383651946
2022-04-24,all_target_rows,ADAM_BL1,1517,328,114,0.07514831905075807,0.20231942893064817,0.7526603393730228,0.4900099818250605,0.15788328466696946,0.2900207505066434,0.6231695022354276,0.6110632835025532,65,677,0.19817073170731708,0.44627554383651946
2022-04-24,all_target_rows,ADAM_BL2,1517,328,114,0.07514831905075807,0.2084052165253064,0.7711920571207063,0.4901635918963571,0.16051966621223893,0.2841210910909752,0.5521772916827301,0.5826210042142741,65,677,0.19817073170731708,0.44627554383651946
2022-04-25,primary_warm_user,BL0,1462,337,120,0.08207934336525308,0.08207934336525308,0.5,0.4469664333258995,0.13170271908709932,0.23740344211724757,0.5,0.5,64,676,0.18991097922848665,0.46238030095759236
2022-04-25,primary_warm_user,ADAM_BL1,1462,337,120,0.08207934336525308,0.17590543946461834,0.7283966716343765,0.5127961948628781,0.16810597063694419,0.2969084199026581,0.6178460662519367,0.6017963785726944,64,676,0.18991097922848665,0.46238030095759236
2022-04-25,primary_warm_user,ADAM_BL2,1462,337,120,0.08207934336525308,0.20217706959268866,0.766120218579235,0.5133129440289216,0.17131620152067223,0.2910434191673265,0.6471576044007725,0.6483790456847611,64,676,0.18991097922848665,0.46238030095759236
2022-04-25,all_target_rows,BL0,1462,337,120,0.08207934336525308,0.08207934336525308,0.5,0.4469664333258995,0.13170271908709932,0.23740344211724757,0.5,0.5,64,676,0.18991097922848665,0.46238030095759236
2022-04-25,all_target_rows,ADAM_BL1,1462,337,120,0.08207934336525308,0.17590543946461834,0.7283966716343765,0.5127961948628781,0.16810597063694419,0.2969084199026581,0.6178460662519367,0.6017963785726944,64,676,0.18991097922848665,0.46238030095759236
2022-04-25,all_target_rows,ADAM_BL2,1462,337,120,0.08207934336525308,0.20217706959268866,0.766120218579235,0.5133129440289216,0.17131620152067223,0.2910434191673265,0.6471576044007725,0.6483790456847611,64,676,0.18991097922848665,0.46238030095759236
2022-04-26,primary_warm_user,BL0,1504,331,131,0.08710106382978723,0.08710106382978723,0.5,0.45076360587833075,0.13351573306778575,0.23238172165271342,0.5,0.5,69,652,0.2084592145015106,0.43351063829787234
2022-04-26,primary_warm_user,ADAM_BL1,1504,331,131,0.08710106382978723,0.17708444848766103,0.6779159693766923,0.5157462577707156,0.1691501574950516,0.28732298862051703,0.5746702023099792,0.5187339341851602,69,652,0.2084592145015106,0.43351063829787234
2022-04-26,primary_warm_user,ADAM_BL2,1504,331,131,0.08710106382978723,0.19164939651613633,0.7401466671855801,0.5135844278656828,0.1710326953577817,0.2825218444066206,0.6053391388532429,0.578449334118838,69,652,0.2084592145015106,0.43351063829787234
2022-04-26,all_target_rows,BL0,1519,332,134,0.08821593153390389,0.08821593153390389,0.5,0.4516066127871306,0.1339182386927911,0.2312668539485967,0.5,0.5,70,667,0.21084337349397592,0.4391046741277156
2022-04-26,all_target_rows,ADAM_BL1,1519,332,134,0.08821593153390389,0.17696760013469917,0.6769438008513389,0.5160243885778055,0.16926996375381378,0.2861536363743488,0.577988463627346,0.5216409097285469,70,667,0.21084337349397592,0.4391046741277156
2022-04-26,all_target_rows,ADAM_BL2,1519,332,134,0.08821593153390389,0.1941420849662479,0.7413545988469206,0.5160429871710389,0.17214550705400075,0.28346527232915497,0.6092170692638395,0.5812968833139658,70,667,0.21084337349397592,0.4391046741277156
2022-04-27,primary_warm_user,BL0,1523,325,120,0.07879185817465528,0.07879185817465528,0.5,0.44448060230037273,0.13051582374835083,0.24069092730784536,0.5,0.5,66,628,0.20307692307692307,0.412344057780696
2022-04-27,primary_warm_user,ADAM_BL1,1523,325,120,0.07879185817465528,0.20366425569669017,0.730559515324305,0.49512774217039457,0.1601901992267477,0.288525951325523,0.5957554191280009,0.5502017524785198,66,628,0.20307692307692307,0.412344057780696
2022-04-27,primary_warm_user,ADAM_BL2,1523,325,120,0.07879185817465528,0.19412599685270246,0.7621584699453551,0.494492855408467,0.1620422631176335,0.2821696205436053,0.6113588260798677,0.5716904147126861,66,628,0.20307692307692307,0.412344057780696
2022-04-27,all_target_rows,BL0,1536,326,122,0.07942708333333333,0.07942708333333333,0.5,0.4449609276299447,0.13074516190082283,0.24005570214916733,0.5,0.5,67,641,0.20552147239263804,0.4173177083333333
2022-04-27,all_target_rows,ADAM_BL1,1536,326,122,0.07942708333333333,0.20249803705169145,0.7262155957984557,0.49511620398547684,0.1601616665594268,0.2872341863345086,0.5938134215481817,0.5494524725907807,67,641,0.20552147239263804,0.4173177083333333
2022-04-27,all_target_rows,ADAM_BL2,1536,326,122,0.07942708333333333,0.1938247490297125,0.7603879240383055,0.496087410703454,0.16275301534188832,0.282506931736093,0.6100222338050951,0.5712988345745049,67,641,0.20552147239263804,0.4173177083333333
2022-04-28,primary_warm_user,BL0,1483,326,112,0.07552258934592043,0.07552258934592043,0.5,0.442008545571874,0.1293355051434066,0.24396019613658015,0.5,0.5,62,567,0.1901840490797546,0.38233310856372216
2022-04-28,primary_warm_user,ADAM_BL1,1483,326,112,0.07552258934592043,0.1948555159865215,0.7514262269459207,0.48857525916263134,0.15698002530062571,0.28896958734496636,0.5238765156684957,0.5087616770766177,62,567,0.1901840490797546,0.38233310856372216
2022-04-28,primary_warm_user,ADAM_BL2,1483,326,112,0.07552258934592043,0.2503132221531223,0.7799768156715641,0.4826839140481322,0.15814006818595402,0.2811991764078767,0.6341251026993162,0.5797147352113398,62,567,0.1901840490797546,0.38233310856372216
2022-04-28,all_target_rows,BL0,1483,326,112,0.07552258934592043,0.07552258934592043,0.5,0.442008545571874,0.1293355051434066,0.24396019613658015,0.5,0.5,62,567,0.1901840490797546,0.38233310856372216
2022-04-28,all_target_rows,ADAM_BL1,1483,326,112,0.07552258934592043,0.1948555159865215,0.7514262269459207,0.48857525916263134,0.15698002530062571,0.28896958734496636,0.5238765156684957,0.5087616770766177,62,567,0.1901840490797546,0.38233310856372216
2022-04-28,all_target_rows,ADAM_BL2,1483,326,112,0.07552258934592043,0.2503132221531223,0.7799768156715641,0.4826839140481322,0.15814006818595402,0.2811991764078767,0.6341251026993162,0.5797147352113398,62,567,0.1901840490797546,0.38233310856372216
2022-04-29,primary_warm_user,BL0,1781,434,148,0.08309938236945537,0.08309938236945537,0.5,0.44773773553925866,0.1320709882865749,0.23638340311304534,0.5,0.5,79,769,0.18202764976958524,0.4317798989331836
2022-04-29,primary_warm_user,ADAM_BL1,1781,434,148,0.08309938236945537,0.17717068532947963,0.6999801393555221,0.5100059009158948,0.16632153352317308,0.28976069436099366,0.575047694964345,0.5821131147580181,79,769,0.18202764976958524,0.4317798989331836
2022-04-29,primary_warm_user,ADAM_BL2,1781,434,148,0.08309938236945537,0.1876281454970641,0.7352327833038181,0.4937933369450156,0.16142353863779174,0.27274423258802816,0.5965842635202454,0.603565904596015,79,769,0.18202764976958524,0.4317798989331836
2022-04-29,all_target_rows,BL0,1785,436,149,0.08347338935574229,0.08347338935574229,0.5,0.44802054081939646,0.1322060176853241,0.23600939612675836,0.5,0.5,80,772,0.1834862385321101,0.43249299719887957
2022-04-29,all_target_rows,ADAM_BL1,1785,436,149,0.08347338935574229,0.17724990897401413,0.6999680018378431,0.5100199170481348,0.16632562332117146,0.2893419107634056,0.5766990640253644,0.587336700823543,80,772,0.1834862385321101,0.43249299719887957
2022-04-29,all_target_rows,ADAM_BL2,1785,436,149,0.08347338935574229,0.18797598012354105,0.7355680084015688,0.4943655144585388,0.1616792630228245,0.27280997723249323,0.5981519412526797,0.6085213307885647,80,772,0.1834862385321101,0.43249299719887957
