contrast,metric,point_estimate,bootstrap_replicates_requested,effective_replicates,bootstrap_mean,bootstrap_se,ci95_lower,ci95_upper
ADAM_BL1_minus_BL0,average_precision,0.08626952127523715,2000,2000,0.0868062008491583,0.006242886004234026,0.0743108464713819,0.09877726423848253
ADAM_BL1_minus_BL0,log_loss,0.0682954533576815,2000,2000,0.06809132018974068,0.008397585055418445,0.05186488052931654,0.08490288615736298
ADAM_BL1_minus_BL0,brier,0.037224274967346455,2000,2000,0.03713038590904321,0.003677663155189422,0.03012679201458236,0.044478359031590226
ADAM_BL1_minus_BL0,user_gauc_event_weighted,0.056485463597051866,2000,2000,0.05634247872426028,0.008922150607782698,0.03834672967486607,0.07380832709937049
ADAM_BL1_minus_BL0,user_gauc_user_equal,0.0665143004117058,2000,2000,0.06674501812053399,0.008304122891335404,0.05038471598398708,0.0826466436811197
ADAM_BL2_minus_ADAM_BL1,average_precision,0.026188431442487198,2000,2000,0.0262906111908556,0.004243385126582658,0.018296015701309683,0.034667061212459216
ADAM_BL2_minus_ADAM_BL1,log_loss,-0.009589477111937916,2000,2000,-0.009553106060344362,0.004908018664535673,-0.019104176411278564,6.191708996973999e-05
ADAM_BL2_minus_ADAM_BL1,brier,-0.0016544706920002261,2000,2000,-0.001636483027291789,0.002093514358717969,-0.005734557497668347,0.0024612802696280466
ADAM_BL2_minus_ADAM_BL1,user_gauc_event_weighted,0.0590317322384718,2000,2000,0.05890147884722145,0.007375244704167894,0.044595283453773706,0.07356857080723468
ADAM_BL2_minus_ADAM_BL1,user_gauc_user_equal,0.0485889751988936,2000,2000,0.048413164465002996,0.007853813502732999,0.033051315352472695,0.06389537882497115
