event_date,model_id,rows,users,positives,prevalence,mean_probability,mean_probability_minus_prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction
2022-05-06,TARGET_BL0,4290,616,371,0.08648018648018647,0.0808300907911803,-0.005650095689006179,0.08648018648018647,0.5,0.29452814534763716,0.07903328740783357,0.005650095689006179,0.5,0.5,181,2377,0.29383116883116883,0.5540792540792541
2022-05-06,OLD_BL2_PLUS_V011,4290,616,371,0.08648018648018647,0.07994356957676801,-0.00653661690341846,0.1793209356078552,0.7017247510057093,0.2747181944221731,0.07587664428847846,0.01328724243585981,0.6308676168588356,0.6003235012435114,181,2377,0.29383116883116883,0.5540792540792541
2022-05-06,NEW_BL1,4290,616,371,0.08648018648018647,0.07759565295452985,-0.00888453352565663,0.1765295095783342,0.680043797959901,0.2774633220692118,0.07609071425612086,0.01236733600839594,0.6288847225619297,0.6157161336562367,181,2377,0.29383116883116883,0.5540792540792541
2022-05-06,NEW_BL2,4290,616,371,0.08648018648018647,0.07887945399348507,-0.0076007324867014,0.2115078975989622,0.7140002847417619,0.27042457591765906,0.07476239888860245,0.013948164611473263,0.6743367962862634,0.6444302958142912,181,2377,0.29383116883116883,0.5540792540792541
2022-05-07,TARGET_BL0,3885,638,318,0.08185328185328185,0.0808300907911803,-0.0010231910621015528,0.08185328185328185,0.5,0.2832795771832109,0.0751543690230786,0.0010231910621015528,0.5,0.5,176,1794,0.27586206896551724,0.4617760617760618
2022-05-07,OLD_BL2_PLUS_V011,3885,638,318,0.08185328185328185,0.07991471781709655,-0.0019385640361852946,0.20387445226097534,0.7449674073838982,0.25414542360522063,0.07034537639960292,0.012713502150395429,0.6103513442487831,0.5834968065166123,176,1794,0.27586206896551724,0.4617760617760618
2022-05-07,NEW_BL1,3885,638,318,0.08185328185328185,0.07644372630465181,-0.005409555548630041,0.1940287561173974,0.7199547564766473,0.2601830795603077,0.07115662097385557,0.0068164762890476184,0.6512018126525148,0.6050876947627768,176,1794,0.27586206896551724,0.4617760617760618
2022-05-07,NEW_BL2,3885,638,318,0.08185328185328185,0.07848883588761893,-0.0033644459656629183,0.22516568481192437,0.7582997885932016,0.25063674148316767,0.0695347407104476,0.008012343549066592,0.6587877287818258,0.606987366800783,176,1794,0.27586206896551724,0.4617760617760618
2022-05-08,TARGET_BL0,4224,653,350,0.08285984848484848,0.0808300907911803,-0.0020297576936681855,0.08285984848484848,0.5,0.2857266631467677,0.07599821391021144,0.0020297576936681855,0.5,0.5,189,2115,0.2894333843797856,0.5007102272727273
2022-05-08,OLD_BL2_PLUS_V011,4224,653,350,0.08285984848484848,0.08475372216502486,0.0018938736801763778,0.1902821200651309,0.7178132605649383,0.2619590707118008,0.07207908667808079,0.009966698701600956,0.6067559435979354,0.6051162935571994,189,2115,0.2894333843797856,0.5007102272727273
2022-05-08,NEW_BL1,4224,653,350,0.08285984848484848,0.07827066254423119,-0.004589185940617288,0.16752581275794146,0.679334759200531,0.2694024535750192,0.07335577037867592,0.013478864028155974,0.6008841495229741,0.5897080170040025,189,2115,0.2894333843797856,0.5007102272727273
2022-05-08,NEW_BL2,4224,653,350,0.08285984848484848,0.08161380093898338,-0.0012460475458651032,0.194419947178181,0.7281591562799616,0.2598394230410016,0.0717489663795743,0.005915519464276924,0.6211731667144855,0.6251085293958542,189,2115,0.2894333843797856,0.5007102272727273
