scope,model_id,rows,users,positives,prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction
history_0_49,BL0,4802,41,2064,0.42982090795501876,0.42982090795501876,0.5,0.7099111220486818,0.2572493963105025,0.11033812247251812,0.5,0.5,38,4797,0.926829268292683,0.9989587671803415
history_0_49,ADAM_BL1,4802,41,2064,0.42982090795501876,0.5160413690653571,0.607627947321929,0.677317168733083,0.24136042885413195,0.07272697376329697,0.6063105831925711,0.6062371243505303,38,4797,0.926829268292683,0.9989587671803415
history_0_49,ADAM_BL2,4802,41,2064,0.42982090795501876,0.6269281188275051,0.7126146121766016,0.6132929287493437,0.21295425493276754,0.03286148697031119,0.6200029332075858,0.5983421767996875,38,4797,0.926829268292683,0.9989587671803415
history_50_199,BL0,47833,147,24536,0.5129513097652248,0.5129513097652248,0.5,0.7727701525852568,0.2872623334635003,0.1934685242827242,0.5,0.5,146,47832,0.9931972789115646,0.9999790939309682
history_50_199,ADAM_BL1,47833,147,24536,0.5129513097652248,0.6494365504895487,0.6582951533940337,0.6832301654918949,0.24465199756869377,0.1216249944718941,0.6151296030338137,0.6105193871265736,146,47832,0.9931972789115646,0.9999790939309682
history_50_199,ADAM_BL2,47833,147,24536,0.5129513097652248,0.700210852519449,0.7203282238866737,0.6148049389588748,0.21304952345661501,0.020075182794322237,0.6283377401378218,0.6188821701926731,146,47832,0.9931972789115646,0.9999790939309682
history_200_plus,BL0,4378664,959,1367788,0.31237564700100307,0.31237564700100307,0.5,0.6211049201787646,0.21484761357910298,0.007107138481497632,0.5,0.5,959,4378664,1.0,1.0
history_200_plus,ADAM_BL1,4378664,959,1367788,0.31237564700100307,0.5357580141021556,0.7267003575358133,0.5506522312299101,0.18554600573825672,0.012563452910804655,0.613344410123654,0.6157902599841923,959,4378664,1.0,1.0
history_200_plus,ADAM_BL2,4378664,959,1367788,0.31237564700100307,0.5753105652162829,0.7577416446981692,0.5278376131079665,0.1766934262003197,0.0036927471185406453,0.6599010361287011,0.6484919611370722,959,4378664,1.0,1.0
history_500_plus_exploratory,BL0,4130523,853,1250861,0.3028335636915713,0.3028335636915713,0.5,0.6138896765005308,0.21140259297967792,0.01664922179092948,0.5,0.5,851,4130521,0.9976553341148886,0.9999995157998152
history_500_plus_exploratory,ADAM_BL1,4130523,853,1250861,0.3028335636915713,0.5252696061366551,0.7249262553795964,0.5452203572044946,0.1831583854084901,0.015597592572606258,0.613163237809306,0.6157766933972513,851,4130521,0.9976553341148886,0.9999995157998152
history_500_plus_exploratory,ADAM_BL2,4130523,853,1250861,0.3028335636915713,0.5624570671299721,0.7555707479052811,0.5232236281665263,0.174761431660475,0.0034646823098035424,0.6602721198834323,0.6493950520752679,851,4130521,0.9976553341148886,0.9999995157998152
warm_video,BL0,856644,991,294085,0.3432989666652658,0.3432989666652658,0.5,0.6444875798645201,0.2260119966379569,0.023816181182765184,0.5,0.5,991,856644,1.0,1.0
warm_video,ADAM_BL1,856644,991,294085,0.3432989666652658,0.552657462270709,0.7169643746921559,0.5763449612112548,0.1966513415628955,0.016755839523306823,0.5903701292188402,0.5930217070177242,991,856644,1.0,1.0
warm_video,ADAM_BL2,856644,991,294085,0.3432989666652658,0.6010256994162457,0.752733416098256,0.5495311637681289,0.18566261551465807,0.007500086043934275,0.6421513279619081,0.6340219298535774,991,856644,1.0,1.0
behavior_cold_video,BL0,3574655,991,1100303,0.30780676736636126,0.30780676736636126,0.5,0.6176501630956992,0.2131980907288805,0.011676018116139386,0.5,0.5,991,3574655,1.0,1.0
behavior_cold_video,ADAM_BL1,3574655,991,1100303,0.30780676736636126,0.5329420604305277,0.7282096713544722,0.5464393274328458,0.18375056490966374,0.011010671728654399,0.6177478211205694,0.6210329086553182,991,3574655,1.0,1.0
behavior_cold_video,ADAM_BL2,3574655,991,1100303,0.30780676736636126,0.5720767549071123,0.7591153265277291,0.5239174066856439,0.17507921265765378,0.00342745270141411,0.6627066857710012,0.6510899602571117,991,3574655,1.0,1.0
tag_known,BL0,4310680,991,1356259,0.31462762255607,0.31462762255607,0.5,0.6228077508772949,0.2156606542878274,0.004855162926430623,0.5,0.5,991,4310680,1.0,1.0
tag_known,ADAM_BL1,4310680,991,1356259,0.31462762255607,0.5375028150051578,0.7268763532241227,0.5520095152060925,0.1861624970324324,0.011717625437159774,0.6140773598287701,0.616214362064667,991,4310680,1.0,1.0
tag_known,ADAM_BL2,4310680,991,1356259,0.31462762255607,0.5784493912041525,0.7584618017945355,0.5287106422730296,0.17706421076249232,0.0035785379285220844,0.6602179194286992,0.64887023716962,991,4310680,1.0,1.0
tag_unknown,BL0,120619,987,38129,0.31611106044653,0.31611106044653,0.5,0.6239294520314458,0.2161962264396185,0.003371725035970774,0.5,0.5,968,120568,0.9807497467071935,0.9995771810411295
tag_unknown,ADAM_BL1,120619,987,38129,0.31611106044653,0.5311328073134322,0.7166421820017931,0.559763801289307,0.1891751278089956,0.01918351310828113,0.5776863000652529,0.5737670745250915,968,120568,0.9807497467071935,0.9995771810411295
tag_unknown,ADAM_BL2,120619,987,38129,0.31611106044653,0.5736487176683691,0.7523585861410855,0.5345273979833376,0.17930339729249725,0.009951343133091895,0.6379890077605297,0.6186101667037346,968,120568,0.9807497467071935,0.9995771810411295
video_duration_valid,BL0,4102778,991,1354836,0.330224057943179,0.330224057943179,0.5,0.6346009912191168,0.22129150443279355,0.010741272460678242,0.5,0.5,991,4102778,1.0,1.0
video_duration_valid,ADAM_BL1,4102778,991,1354836,0.330224057943179,0.5427603189840002,0.716657939973191,0.5685969154191085,0.19304980598088134,0.012715735366740416,0.5911902964388812,0.592753830413881,991,4102778,1.0,1.0
video_duration_valid,ADAM_BL2,4102778,991,1354836,0.330224057943179,0.5841368506019583,0.7502031760595925,0.544342750519766,0.1834274438499563,0.004419691355041498,0.6424679554257512,0.6287592430733371,991,4102778,1.0,1.0
video_duration_invalid,BL0,328521,984,39552,0.12039413005561288,0.12039413005561288,0.5,0.4759381487768886,0.14553567622345112,0.1990886554268878,0.5,0.5,914,327281,0.9288617886178862,0.9962255076540009
video_duration_invalid,ADAM_BL1,328521,984,39552,0.12039413005561288,0.22610890062298417,0.6863948807526676,0.34770261720539863,0.10125553789964876,0.023099822343185694,0.5593703670219354,0.5612810348022361,914,327281,0.9288617886178862,0.9962255076540009
video_duration_invalid,ADAM_BL2,328521,984,39552,0.12039413005561288,0.26205083076956925,0.7171361931217893,0.33562265535192737,0.09841826642390654,0.008845613254746169,0.6121552136070644,0.5998880348384993,914,327281,0.9288617886178862,0.9962255076540009
