scope,model_id,rows,users,positives,prevalence,average_precision,roc_auc,log_loss,brier,ece20_equal_width,user_gauc_event_weighted,user_gauc_user_equal,user_gauc_eligible_users,user_gauc_eligible_rows,user_gauc_eligible_user_fraction,user_gauc_eligible_row_fraction
primary_warm_user,BL0,4401690,974,1384770,0.31459961969152755,0.31459961969152755,0.5,0.6227865765189486,0.21565054428961597,0.004883165790973143,0.5,0.5,974,4401690,1.0,1.0
primary_warm_user,ADAM_BL1,4401690,974,1384770,0.31459961969152755,0.5378700336486955,0.7271687406854328,0.5518076206661362,0.1860712348258161,0.011727627729358333,0.6133599731034108,0.6153756375958901,974,4401690,1.0,1.0
primary_warm_user,ADAM_BL2,4401690,974,1384770,0.31459961969152755,0.5785214470563009,0.7584959177334777,0.5286794147077838,0.17704291268479247,0.003774218486236211,0.6595645392883197,0.6479497387184793,974,4401690,1.0,1.0
all_target_rows,BL0,4431299,991,1394388,0.31466800141448364,0.31466800141448364,0.5,0.6228382833400135,0.21567523244591982,0.004814784068017108,0.5,0.5,991,4431299,1.0,1.0
all_target_rows,ADAM_BL1,4431299,991,1394388,0.31466800141448364,0.5372813841551884,0.7265902493575456,0.552220585195518,0.18624450019034125,0.011770535134048365,0.6133604492013484,0.6154352374825527,991,4431299,1.0,1.0
all_target_rows,ADAM_BL2,4431299,991,1394388,0.31466800141448364,0.5783076962933222,0.7582921855949022,0.5288689731049192,0.17712516093535643,0.00375122189985611,0.6596614916820273,0.6481479365613307,991,4431299,1.0,1.0
cold_user,BL0,29609,17,9618,0.32483366543956227,0.32483366543956227,0.5,0.6305250474054138,0.21934538715297575,0.005350879957061572,0.5,0.5,17,29609,1.0,1.0
cold_user,ADAM_BL1,29609,17,9618,0.32483366543956227,0.4165121566085278,0.6179530528808664,0.6136121161264759,0.2120022232602378,0.03630764524751188,0.613431226178976,0.6188499604007517,17,29609,1.0,1.0
cold_user,ADAM_BL2,29609,17,9618,0.32483366543956227,0.5442026459220926,0.7249597263663639,0.5570488272400337,0.18935223047586552,0.01077556475308517,0.6740744871178524,0.6595035070870581,17,29609,1.0,1.0
