contrast,metric,point_estimate,bootstrap_replicates_requested,effective_replicates,bootstrap_mean,bootstrap_se,ci95_lower,ci95_upper
ADAM_BL1_minus_BL0,average_precision,0.2232704139571679,2000,2000,0.2230737018128225,0.005992032884490023,0.2112163964544748,0.2349904703118118
ADAM_BL1_minus_BL0,log_loss,-0.07097895585281244,2000,2000,-0.071016190246141,0.0030588997117395296,-0.07731186250288674,-0.06509753193899609
ADAM_BL1_minus_BL0,brier,-0.029579309463799858,2000,2000,-0.02959642545553354,0.001188345694368997,-0.03203980635177489,-0.02727265933585785
ADAM_BL1_minus_BL0,user_gauc_event_weighted,0.11335997310341084,2000,2000,0.1133581096204417,0.001654166681725148,0.11006677874558542,0.11662580805060953
ADAM_BL1_minus_BL0,user_gauc_user_equal,0.11537563759589009,2000,2000,0.1153971806304392,0.0015278688953205813,0.11248504658228836,0.11850471443134684
ADAM_BL2_minus_ADAM_BL1,average_precision,0.040651413407605475,2000,2000,0.04060550318510308,0.0019092879769847745,0.036937401023053214,0.04440233668882059
ADAM_BL2_minus_ADAM_BL1,log_loss,-0.02312820595835241,2000,2000,-0.023096556597899585,0.0008433517077847328,-0.024796823459840377,-0.021536773645807604
ADAM_BL2_minus_ADAM_BL1,brier,-0.009028322141023642,2000,2000,-0.009016256010174603,0.0003449038616471102,-0.009721924792556833,-0.008372287842429493
ADAM_BL2_minus_ADAM_BL1,user_gauc_event_weighted,0.04620456618490887,2000,2000,0.04617554667922451,0.0014359904645428994,0.043415405835403584,0.0490107756567644
ADAM_BL2_minus_ADAM_BL1,user_gauc_user_equal,0.03257410112258918,2000,2000,0.03255583641810192,0.0011841153846507534,0.03022077204073238,0.03480998664422454
